Date,Open,High,Low,Close,Adj Close,Volume
2023-08-07,447.320007,450.470001,446.279999,449.779999,443.634827,746800
2023-08-08,449.000000,450.510010,447.570007,449.470001,443.329041,791600
2023-08-09,450.079987,454.049988,449.989990,452.809998,446.623413,1211700
2023-08-10,452.000000,453.970001,449.260010,450.049988,443.901093,688700
2023-08-11,451.179993,454.089996,450.519989,454.049988,447.846436,690500
2023-08-14,454.589996,455.609985,449.660004,450.079987,443.930695,752300
2023-08-15,448.000000,450.000000,443.279999,443.579987,437.519501,725300
2023-08-16,442.859985,447.029999,442.299988,445.130005,439.048340,822000
2023-08-17,446.640015,450.220001,446.440002,446.679993,440.577148,635800
2023-08-18,445.420013,455.369995,445.380005,450.059998,443.910980,1074100
2023-08-21,449.839996,453.029999,449.000000,451.489990,445.321442,573500
2023-08-22,451.739990,453.890015,450.459991,452.940002,446.751648,671800
2023-08-23,454.579987,454.890015,452.089996,454.570007,448.359375,1043200
2023-08-24,453.260010,457.670013,452.440002,452.549988,446.366943,697800
2023-08-25,455.260010,455.260010,449.059998,451.089996,444.926910,785200
2023-08-28,450.809998,453.329987,450.269989,452.320007,446.140137,641000
2023-08-29,452.320007,453.260010,444.489990,448.399994,442.273651,1053700
2023-08-30,449.440002,455.920013,448.489990,452.410004,446.228882,875900
2023-08-31,450.820007,453.619995,448.140015,448.350006,445.176361,826300
2023-09-01,450.320007,451.890015,447.779999,448.179993,445.007568,668600
2023-09-05,448.000000,448.329987,445.049988,445.190002,442.038727,854000
2023-09-06,440.239990,441.339996,423.660004,423.940002,420.939148,2548000
2023-09-07,424.000000,427.779999,422.000000,425.940002,422.924988,1195700
2023-09-08,426.329987,426.440002,422.250000,423.089996,420.095154,1162300
2023-09-11,422.220001,422.730011,416.519989,420.660004,417.682373,1618300
2023-09-12,419.540009,420.109985,415.940002,417.829987,414.872375,1307700
2023-09-13,419.820007,422.250000,418.579987,420.989990,418.010040,971500
2023-09-14,420.730011,426.660004,420.730011,425.890015,422.875366,992400
2023-09-15,423.910004,428.880005,423.709991,424.049988,421.048370,1678500
2023-09-18,427.660004,431.450012,426.600006,429.859985,426.817230,951200
2023-09-19,430.250000,431.079987,425.059998,425.309998,422.299469,862300
2023-09-20,426.950012,430.850006,426.670013,426.950012,423.927856,1044100
2023-09-21,425.730011,426.609985,417.190002,417.540009,414.584473,1669400
2023-09-22,415.940002,417.500000,413.230011,413.649994,410.721985,1453300
2023-09-25,413.230011,413.950012,411.510010,412.899994,409.977295,748300
2023-09-26,410.630005,411.269989,407.750000,408.750000,405.856689,1108000
2023-09-27,409.179993,410.000000,405.720001,408.720001,405.826904,1317700
2023-09-28,409.899994,412.859985,408.820007,410.959991,408.051025,819700
2023-09-29,410.959991,411.450012,407.589996,408.959991,406.065186,763800
2023-10-02,408.959991,410.989990,405.890015,407.820007,404.933258,733200
2023-10-03,407.390015,407.500000,402.589996,403.829987,400.971497,899200
2023-10-04,400.660004,402.000000,397.109985,401.329987,398.489197,1243400
2023-10-05,400.959991,401.429993,394.619995,397.350006,394.537384,1162800
2023-10-06,395.399994,402.420013,393.769989,400.730011,397.893463,1135000
2023-10-09,428.720001,436.600006,423.390015,436.529999,433.440033,5343700
2023-10-10,441.519989,442.619995,432.529999,435.100006,432.020172,2626200
2023-10-11,434.720001,438.799988,433.299988,436.649994,433.559174,1419500
2023-10-12,438.049988,439.089996,430.109985,434.140015,431.066956,1121900
2023-10-13,438.529999,443.119995,434.670013,441.059998,437.937958,1519300
2023-10-16,439.420013,443.500000,434.390015,440.410004,437.292572,1931300
2023-10-17,436.559998,452.790009,435.130005,441.130005,438.007477,3103900
2023-10-18,443.309998,447.890015,440.269989,446.070007,442.912506,2024100
2023-10-19,443.660004,449.670013,442.190002,449.179993,446.000488,2012400
2023-10-20,451.369995,452.600006,444.010010,444.170013,441.025970,1714600
2023-10-23,444.209991,452.059998,443.489990,446.160004,443.001862,1502400
2023-10-24,449.130005,450.609985,440.339996,440.899994,437.779083,1367100
2023-10-25,444.339996,449.380005,443.679993,447.690002,444.521057,1228900
2023-10-26,448.010010,451.089996,443.679993,445.970001,442.813202,1432000
2023-10-27,443.420013,447.660004,440.239990,443.390015,440.251495,1288400
2023-10-30,444.420013,446.859985,442.799988,445.839996,442.684143,948800
2023-10-31,447.299988,455.130005,445.410004,454.640015,451.421844,1418700
2023-11-01,456.329987,456.700012,451.459991,452.380005,449.177856,1267000
2023-11-02,450.750000,458.220001,450.750000,458.040009,454.797791,1242000
2023-11-03,455.109985,457.760010,451.130005,453.339996,450.131042,1365400
2023-11-06,454.839996,454.839996,450.640015,451.160004,447.966492,1440800
2023-11-07,453.160004,453.160004,449.690002,450.149994,446.963623,1220100
2023-11-08,450.149994,451.769989,444.029999,444.660004,441.512482,1386400
2023-11-09,445.410004,445.609985,439.679993,442.459991,439.328064,1775500
2023-11-10,444.010010,445.829987,440.970001,444.869995,441.721008,1525400
2023-11-13,445.000000,448.570007,443.290009,445.029999,441.879883,1003800
2023-11-14,443.000000,446.730011,441.859985,444.220001,441.075592,1336800
2023-11-15,443.470001,448.010010,443.470001,445.140015,441.989105,1098400
2023-11-16,445.799988,447.670013,443.549988,445.589996,442.435913,912900
2023-11-17,446.640015,447.230011,444.220001,444.679993,441.532349,898600
2023-11-20,444.029999,445.589996,440.760010,443.809998,440.668488,982000
2023-11-21,445.000000,448.570007,444.160004,448.149994,444.977783,1177800
2023-11-22,447.500000,451.700012,447.500000,450.399994,447.211853,833800
2023-11-24,451.690002,452.589996,449.739990,452.010010,448.810486,326600
2023-11-27,451.859985,452.829987,445.429993,445.489990,442.336609,1496900
2023-11-28,447.859985,450.880005,446.000000,448.269989,445.096924,1124900
2023-11-29,449.540009,449.540009,443.910004,445.010010,441.860016,1272900
2023-11-30,443.000000,447.859985,442.510010,447.769989,447.769989,1514500
2023-12-01,448.399994,450.660004,448.149994,449.410004,449.410004,856600
